Id,,len,datetime,open,high,low,close,volume,openinterest,myStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
31,,31,2015-02-18 00:00:00,18103.98046875,18202.609375,18092.3203125,18199.169921875,171600.0,,myStrategy,31,735647.0,Broker,31,1000000.0,1000000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2015-02-19 00:00:00,18237.349609375,18322.5,18237.349609375,18264.7890625,174100.0,,myStrategy,32,735648.0,Broker,32,1000000.0,1000000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2015-02-20 00:00:00,18336.5,18360.919921875,18297.669921875,18332.30078125,146300.0,,myStrategy,33,735649.0,Broker,33,1000000.0,1000000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2015-02-23 00:00:00,18499.580078125,18509.080078125,18402.01953125,18466.919921875,157500.0,,myStrategy,34,735652.0,Broker,34,1000000.0,1000000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2015-02-24 00:00:00,18468.390625,18603.48046875,18427.98046875,18603.48046875,145200.0,,myStrategy,35,735653.0,Broker,35,1000000.0,1000000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2015-02-25 00:00:00,18636.33984375,18648.76953125,18552.810546875,18585.19921875,139100.0,,myStrategy,36,735654.0,Broker,36,1000000.0,1000000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2015-02-26 00:00:00,18587.869140625,18790.830078125,18587.130859375,18785.7890625,155500.0,,myStrategy,37,735655.0,Broker,37,1000000.0,1000000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2015-02-27 00:00:00,18844.279296875,18865.390625,18714.640625,18797.939453125,174700.0,,myStrategy,38,735656.0,Broker,38,1000000.0,1000000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2015-03-02 00:00:00,18869.400390625,18939.169921875,18775.23046875,18826.880859375,134800.0,,myStrategy,39,735659.0,Broker,39,1000000.0,1000000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2015-03-03 00:00:00,18910.51953125,18910.51953125,18730.5703125,18815.16015625,154800.0,,myStrategy,40,735660.0,Broker,40,1000000.0,1000000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
