Date,High,Low,Open,Close,Volume,Adj Close
2015-01-05,17540.919921875,17219.220703125,17325.6796875,17408.7109375,116500.0,17408.7109375
2015-01-06,17111.359375,16881.73046875,17101.580078125,16883.189453125,166000.0,16883.189453125
2015-01-07,16974.609375,16808.259765625,16808.259765625,16885.330078125,138600.0,16885.330078125
2015-01-08,17243.7109375,17016.08984375,17067.400390625,17167.099609375,140600.0,17167.099609375
2015-01-09,17342.650390625,17129.529296875,17318.740234375,17197.73046875,155200.0,17197.73046875
2015-01-13,17087.7109375,16828.26953125,16970.880859375,17087.7109375,149200.0,17087.7109375
2015-01-14,17036.720703125,16770.560546875,16961.8203125,16795.9609375,148500.0,16795.9609375
2015-01-15,17141.98046875,16856.220703125,16872.94921875,17108.69921875,147700.0,17108.69921875
2015-01-16,16864.33984375,16592.5703125,16812.9609375,16864.16015625,171100.0,16864.16015625
2015-01-19,17039.80078125,16911.580078125,17000.779296875,17014.2890625,128000.0,17014.2890625
2015-01-20,17366.30078125,17066.76953125,17071.650390625,17366.30078125,133000.0,17366.30078125
2015-01-21,17329.029296875,17181.55078125,17308.720703125,17280.48046875,136000.0,17280.48046875
2015-01-22,17355.740234375,17229.2109375,17306.640625,17329.01953125,121900.0,17329.01953125
2015-01-23,17532.060546875,17460.759765625,17520.630859375,17511.75,132500.0,17511.75
2015-01-26,17471.939453125,17285.7109375,17285.7109375,17468.51953125,111600.0,17468.51953125
2015-01-27,17768.41015625,17633.470703125,17649.400390625,17768.30078125,139700.0,17768.30078125
2015-01-28,17850.58984375,17615.9296875,17615.9296875,17795.73046875,141900.0,17795.73046875
2015-01-29,17778.830078125,17575.099609375,17666.91015625,17606.220703125,140000.0,17606.220703125
2015-01-30,17808.470703125,17661.099609375,17788.740234375,17674.390625,173500.0,17674.390625
2015-02-02,17628.400390625,17459.44921875,17536.609375,17558.0390625,136000.0,17558.0390625
2015-02-03,17654.599609375,17271.869140625,17654.599609375,17335.849609375,169600.0,17335.849609375
2015-02-04,17743.109375,17535.0390625,17549.30078125,17678.740234375,187000.0,17678.740234375
2015-02-05,17619.33984375,17484.669921875,17589.2109375,17504.619140625,185000.0,17504.619140625
2015-02-06,17700.669921875,17603.0703125,17696.1796875,17648.5,142500.0,17648.5
2015-02-09,17799.490234375,17653.609375,17790.310546875,17711.9296875,129500.0,17711.9296875
2015-02-10,17673.26953125,17550.029296875,17662.669921875,17652.6796875,123900.0,17652.6796875
2015-02-12,18005.44921875,17884.33984375,17899.400390625,17979.720703125,181200.0,17979.720703125
2015-02-13,17962.109375,17864.55078125,17892.099609375,17913.359375,162000.0,17913.359375
2015-02-16,18074.259765625,17978.900390625,18024.009765625,18004.76953125,152600.0,18004.76953125
2015-02-17,18009.44921875,17901.259765625,17949.69921875,17987.08984375,142100.0,17987.08984375
2015-02-18,18202.609375,18092.3203125,18103.98046875,18199.169921875,171600.0,18199.169921875
2015-02-19,18322.5,18237.349609375,18237.349609375,18264.7890625,174100.0,18264.7890625
2015-02-20,18360.919921875,18297.669921875,18336.5,18332.30078125,146300.0,18332.30078125
2015-02-23,18509.080078125,18402.01953125,18499.580078125,18466.919921875,157500.0,18466.919921875
2015-02-24,18603.48046875,18427.98046875,18468.390625,18603.48046875,145200.0,18603.48046875
2015-02-25,18648.76953125,18552.810546875,18636.33984375,18585.19921875,139100.0,18585.19921875
2015-02-26,18790.830078125,18587.130859375,18587.869140625,18785.7890625,155500.0,18785.7890625
2015-02-27,18865.390625,18714.640625,18844.279296875,18797.939453125,174700.0,18797.939453125
2015-03-02,18939.169921875,18775.23046875,18869.400390625,18826.880859375,134800.0,18826.880859375
2015-03-03,18910.51953125,18730.5703125,18910.51953125,18815.16015625,154800.0,18815.16015625
2015-03-04,18732.66015625,18586.83984375,18716.779296875,18703.599609375,143300.0,18703.599609375
2015-03-05,18767.5,18655.359375,18658.16015625,18751.83984375,121900.0,18751.83984375
