Date,High,Low,Open,Close,Volume,Adj Close
1970-01-05,2402.85009765625,2402.85009765625,2402.85009765625,2402.85009765625,0.0,2402.85009765625
1970-01-06,2406.219970703125,2406.219970703125,2406.219970703125,2406.219970703125,0.0,2406.219970703125
1970-01-07,2394.9599609375,2394.9599609375,2394.9599609375,2394.9599609375,0.0,2394.9599609375
1970-01-08,2283.679931640625,2283.679931640625,2283.679931640625,2283.679931640625,0.0,2283.679931640625
1970-01-09,2283.679931640625,2283.679931640625,2283.679931640625,2283.679931640625,0.0,2283.679931640625
1970-01-12,2324.239990234375,2324.239990234375,2324.239990234375,2324.239990234375,0.0,2324.239990234375
1970-01-13,2297.68994140625,2297.68994140625,2297.68994140625,2297.68994140625,0.0,2297.68994140625
1970-01-14,2288.139892578125,2288.139892578125,2288.139892578125,2288.139892578125,0.0,2288.139892578125
1970-01-16,2286.449951171875,2286.449951171875,2286.449951171875,2286.449951171875,0.0,2286.449951171875
1970-01-19,2309.3798828125,2309.3798828125,2309.3798828125,2309.3798828125,0.0,2309.3798828125
1970-01-20,2309.93994140625,2309.93994140625,2309.93994140625,2309.93994140625,0.0,2309.93994140625
1970-01-21,2325.360107421875,2325.360107421875,2325.360107421875,2325.360107421875,0.0,2325.360107421875
1970-01-22,2322.580078125,2322.580078125,2322.580078125,2322.580078125,0.0,2322.580078125
1970-01-23,2312.0,2312.0,2312.0,2312.0,0.0,2312.0
1970-01-26,2316.7099609375,2316.7099609375,2316.7099609375,2316.7099609375,0.0,2316.7099609375
1970-01-27,2316.7099609375,2316.7099609375,2316.7099609375,2316.7099609375,0.0,2316.7099609375
1970-01-28,2324.77001953125,2324.77001953125,2324.77001953125,2324.77001953125,0.0,2324.77001953125
1970-01-29,2328.60009765625,2328.60009765625,2328.60009765625,2328.60009765625,0.0,2328.60009765625
1970-01-30,2296.429931640625,2296.429931640625,2296.429931640625,2296.429931640625,0.0,2296.429931640625
1970-02-02,2310.449951171875,2310.449951171875,2310.449951171875,2310.449951171875,0.0,2310.449951171875
1970-02-03,2296.679931640625,2296.679931640625,2296.679931640625,2296.679931640625,0.0,2296.679931640625
1970-02-04,2313.31005859375,2313.31005859375,2313.31005859375,2313.31005859375,0.0,2313.31005859375
1970-02-05,2306.780029296875,2306.780029296875,2306.780029296875,2306.780029296875,0.0,2306.780029296875
1970-02-06,2302.929931640625,2302.929931640625,2302.929931640625,2302.929931640625,0.0,2302.929931640625
1970-02-09,2306.39990234375,2306.39990234375,2306.39990234375,2306.39990234375,0.0,2306.39990234375
1970-02-10,2306.25,2306.25,2306.25,2306.25,0.0,2306.25
1970-02-12,2306.25,2306.25,2306.25,2306.25,0.0,2306.25
1970-02-13,2298.64990234375,2298.64990234375,2298.64990234375,2298.64990234375,0.0,2298.64990234375
1970-02-16,2293.929931640625,2293.929931640625,2293.929931640625,2293.929931640625,0.0,2293.929931640625
1970-02-17,2294.7099609375,2294.7099609375,2294.7099609375,2294.7099609375,0.0,2294.7099609375
1970-02-18,2313.22998046875,2313.22998046875,2313.22998046875,2313.22998046875,0.0,2313.22998046875
1970-02-19,2324.39990234375,2324.39990234375,2324.39990234375,2324.39990234375,0.0,2324.39990234375
1970-02-20,2322.97998046875,2322.97998046875,2322.97998046875,2322.97998046875,0.0,2322.97998046875
1970-02-23,2361.469970703125,2361.469970703125,2361.469970703125,2361.469970703125,0.0,2361.469970703125
1970-02-24,2375.4599609375,2375.4599609375,2375.4599609375,2375.4599609375,0.0,2375.4599609375
1970-02-25,2383.179931640625,2383.179931640625,2383.179931640625,2383.179931640625,0.0,2383.179931640625
1970-02-26,2385.070068359375,2385.070068359375,2385.070068359375,2385.070068359375,0.0,2385.070068359375
1970-02-27,2385.070068359375,2385.070068359375,2385.070068359375,2385.070068359375,0.0,2385.070068359375
1970-03-02,2399.760009765625,2399.760009765625,2399.760009765625,2399.760009765625,0.0,2399.760009765625
